profissao,salario,idade,sexo,regiao,estado,empresa,experiencia,trabalho,escolaridade,formacao,setor,satisfacao,modelo,nivel,linguagemPython,linguagemSQL,linguagemR,linguagemJava,linguagemJavascript,linguagemScala,linguagemVBA
Engenheiro de ML,1500.0,21.0,Masculino,Sudeste,MG,Média,até 1 ano,Estagiário,Estudante,Comp/Sist,Saúde,1.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,1500.0,49.0,Masculino,Sudeste,SP,Média,até 1 ano,CLT,Graduado,Engenharias,Automotivo,0.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,42.0,Masculino,Sudeste,MG,Grande,10+ anos,CLT,Pós-Graduado,Comp/Sist,Outro,1.0,Híbrido,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,33.0,Feminino,Sul,SC,Grande,1 a 2 anos,CLT,Graduado,Comp/Sist,Varejo,1.0,Híbrido,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,27.0,Masculino,Sudeste,ES,Pequena,2 a 3 anos,PJ,Estudante,Econ/Adm,Outro,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,29.0,Masculino,Sul,SC,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Outro,0.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,25.0,Masculino,Sudeste,SP,Média,2 a 3 anos,CLT,Mestre,Comp/Sist,Internet,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,1500.0,28.0,Feminino,Nordeste,SE,Grande,até 1 ano,Estagiário,Estudante,Comp/Sist,Finanças,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,26.0,Feminino,Nordeste,PE,Grande,4 a 5 anos,CLT,Pós-Graduado,Econ/Adm,Alimentício,1.0,Home-Office,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,32.0,Masculino,Sudeste,MG,Média,1 a 2 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,10000.0,50.0,Masculino,Sudeste,MG,Pequena,2 a 3 anos,PJ,Mestre,Comp/Sist,Tecnologia,1.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,50.0,Masculino,Sudeste,SP,Média,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Marketing,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,14000.0,46.0,Masculino,Sul,SC,Grande,até 1 ano,Servidor,Graduado,Engenharias,Internet,1.0,Home-Office,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,1500.0,45.0,Masculino,Sudeste,SP,Grande,Sem Exp.,Servidor,Graduado,Comp/Sist,Saúde,0.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,1500.0,26.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,Servidor,Pós-Graduado,Estat/Mat,Educação,1.0,Híbrido,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Analista de Dados,3500.0,31.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,CLT,Graduado,Econ/Adm,Energia,0.0,Híbrido,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,43.0,Masculino,Sudeste,SP,Média,Sem Exp.,CLT,Estudante,Comp/Sist,Automotivo,0.0,Presencial,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,46.0,Masculino,Sudeste,SP,Média,2 a 3 anos,CLT,Graduado,Comp/Sist,Tecnologia,0.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,29.0,Masculino,Sudeste,RJ,Grande,1 a 2 anos,CLT,Graduado,Engenharias,Alimentício,1.0,Home-Office,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,7000.0,29.0,Masculino,Sudeste,RJ,Média,2 a 3 anos,CLT,Pós-Graduado,Comp/Sist,Finanças,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,23.0,Masculino,Sul,SC,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Tecnologia,1.0,Home-Office,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,7000.0,26.0,Feminino,Nordeste,CE,Grande,4 a 5 anos,CLT,Não Graduado,,Entretenimento,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,20.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Estudante,Comp/Sist,Internet,1.0,Híbrido,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,7000.0,41.0,Feminino,Sudeste,SP,Grande,1 a 2 anos,CLT,Pós-Graduado,Econ/Adm,Finanças,1.0,Presencial,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de BI,10000.0,34.0,Masculino,Sudeste,RJ,Grande,4 a 5 anos,CLT,Graduado,Engenharias,Energia,1.0,Híbrido,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Cientista de Dados,7000.0,24.0,Masculino,Sudeste,MG,Grande,1 a 2 anos,CLT,Graduado,Engenharias,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,3500.0,31.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,Servidor,Graduado,Comp/Sist,Saúde,0.0,Presencial,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,2500.0,20.0,Masculino,Sudeste,RJ,Grande,até 1 ano,Estagiário,Estudante,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,14000.0,31.0,Masculino,Sudeste,SP,Grande,6 a 10 anos,CLT,Pós-Graduado,Econ/Adm,Indústria,0.0,Presencial,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Engenheiro de Dados,10000.0,35.0,Masculino,Sudeste,SP,Média,2 a 3 anos,CLT,Pós-Graduado,Econ/Adm,Internet,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,26.0,Masculino,Sudeste,ES,Média,1 a 2 anos,PJ,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de BI,7000.0,34.0,Masculino,Sudeste,SP,Média,10+ anos,CLT,Pós-Graduado,Econ/Adm,Internet,0.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,2500.0,22.0,Masculino,Centro-oeste,DF,Grande,1 a 2 anos,Estagiário,Estudante,Comp/Sist,Finanças,1.0,Home-Office,Júnior,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Engenheiro de Dados,14000.0,32.0,Masculino,Centro-oeste,MT,Média,6 a 10 anos,PJ,Graduado,Comp/Sist,Varejo,1.0,Home-Office,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Engenheiro de ML,1500.0,31.0,Masculino,Sudeste,SP,Pequena,até 1 ano,Estagiário,Estudante,Comp/Sist,Tecnologia,1.0,Híbrido,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,31.0,Masculino,Sul,PR,Grande,4 a 5 anos,Servidor,Doutor,Econ/Adm,Educação,1.0,Home-Office,Pleno,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Outras,10000.0,52.0,Masculino,Nordeste,PE,Grande,6 a 10 anos,Servidor,Doutor,Engenharias,Educação,1.0,Presencial,Sênior,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,1000.0,23.0,Masculino,Nordeste,CE,Grande,até 1 ano,Freelancer,Estudante,Quím/Fis,Tecnologia,0.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,2500.0,23.0,Masculino,Sudeste,RJ,Grande,até 1 ano,CLT,Estudante,Engenharias,Alimentício,1.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de Dados,10000.0,30.0,Masculino,Sudeste,RJ,Média,2 a 3 anos,CLT,Graduado,Econ/Adm,Educação,1.0,Home-Office,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,31.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,CLT,Pós-Graduado,Comp/Sist,Entretenimento,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,26.0,Masculino,Sudeste,RJ,Grande,1 a 2 anos,CLT,Pós-Graduado,Outras,Internet,0.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Cientista de Dados,1500.0,29.0,Masculino,Sul,PR,Média,2 a 3 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,3500.0,48.0,Masculino,Sudeste,MG,Grande,1 a 2 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,34.0,Masculino,Sudeste,MG,Média,2 a 3 anos,CLT,Graduado,Engenharias,Marketing,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,21.0,Masculino,Sul,RS,Média,2 a 3 anos,CLT,Graduado,Comp/Sist,Finanças,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,22500.0,51.0,Masculino,Sudeste,MG,Grande,6 a 10 anos,PJ,Graduado,Comp/Sist,Varejo,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,2500.0,37.0,Feminino,Sudeste,MG,Média,1 a 2 anos,CLT,Estudante,Econ/Adm,Outro,0.0,Híbrido,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,10000.0,42.0,Feminino,Sudeste,SP,Grande,6 a 10 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,27.0,Masculino,Sul,RS,Grande,4 a 5 anos,CLT,Pós-Graduado,Engenharias,Finanças,0.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,3500.0,50.0,Masculino,Nordeste,CE,Grande,até 1 ano,CLT,Estudante,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,5000.0,26.0,Masculino,Sudeste,SP,Média,1 a 2 anos,CLT,Estudante,Engenharias,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Engenheiro de ML,5000.0,24.0,Feminino,Nordeste,CE,Grande,até 1 ano,CLT,Graduado,Estat/Mat,Finanças,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,30.0,Masculino,Sudeste,MG,Pequena,2 a 3 anos,CLT,Graduado,Comp/Sist,Outro,0.0,Presencial,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Outras,35000.0,31.0,Masculino,Exterior,Fora,Grande,6 a 10 anos,Outros,Pós-Graduado,Econ/Adm,Finanças,1.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,29.0,Masculino,Nordeste,PI,Grande,1 a 2 anos,Servidor,Graduado,Engenharias,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Cientista de Dados,18000.0,30.0,Masculino,Sul,RS,Grande,10+ anos,CLT,Mestre,Comp/Sist,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,23.0,Masculino,Sul,PR,Média,1 a 2 anos,CLT,Estudante,Engenharias,Marketing,1.0,Home-Office,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de ML,27500.0,38.0,Masculino,Nordeste,CE,Grande,1 a 2 anos,PJ,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,29.0,Feminino,Sudeste,MG,Grande,Sem Exp.,Servidor,Graduado,Engenharias,Educação,0.0,Híbrido,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,35000.0,46.0,Masculino,Sudeste,SP,Média,10+ anos,PJ,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,3500.0,27.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Estudante,Estat/Mat,Saúde,1.0,Presencial,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de Dados,5000.0,34.0,Feminino,Sudeste,SP,Grande,até 1 ano,CLT,Graduado,Outras,Varejo,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,1500.0,26.0,Masculino,Nordeste,CE,Pequena,até 1 ano,CLT,Graduado,Outras,Alimentício,0.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,3500.0,34.0,Masculino,Sudeste,RJ,Pequena,1 a 2 anos,PJ,Não Graduado,,Varejo,0.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,7000.0,32.0,Masculino,Nordeste,PE,Grande,2 a 3 anos,PJ,Graduado,Econ/Adm,Construção Civil,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,24.0,Masculino,Sudeste,SP,Grande,4 a 5 anos,CLT,Graduado,Comp/Sist,Varejo,1.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Engenheiro de Dados,3500.0,28.0,Masculino,Nordeste,PE,Grande,até 1 ano,CLT,Graduado,Engenharias,Tecnologia,1.0,Home-Office,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,14000.0,36.0,Masculino,Sul,RS,Média,10+ anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Híbrido,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,33.0,Feminino,Sudeste,MG,Média,2 a 3 anos,CLT,Mestre,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,7000.0,44.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Pós-Graduado,Estat/Mat,Educação,1.0,Presencial,Sênior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de BI,7000.0,45.0,Masculino,Nordeste,CE,Grande,4 a 5 anos,CLT,Graduado,Comp/Sist,Indústria,0.0,Presencial,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,40.0,Masculino,Sudeste,MG,Grande,10+ anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,0.0,Híbrido,Sênior,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,25.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,Outros,Mestre,Econ/Adm,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de BI,5000.0,31.0,Feminino,Sudeste,SP,Média,1 a 2 anos,CLT,Mestre,Quím/Fis,Tecnologia,1.0,Híbrido,Júnior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Cientista de Dados,10000.0,35.0,Feminino,Centro-oeste,DF,Média,1 a 2 anos,CLT,Pós-Graduado,Econ/Adm,Seguros,0.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,30.0,Masculino,Sul,SC,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Internet,0.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,5000.0,48.0,Feminino,Sudeste,SP,Média,Sem Exp.,Servidor,Doutor,Estat/Mat,Educação,0.0,Home-Office,Pleno,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,3500.0,36.0,Masculino,Sul,PR,Pequena,2 a 3 anos,CLT,Mestre,Engenharias,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,42.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,CLT,Pós-Graduado,Engenharias,Varejo,1.0,Híbrido,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,10000.0,39.0,Feminino,Sudeste,RJ,Grande,Sem Exp.,CLT,Pós-Graduado,Engenharias,Indústria,1.0,Híbrido,Pleno,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,35000.0,41.0,Masculino,Centro-oeste,DF,Grande,6 a 10 anos,Servidor,Mestre,Comp/Sist,Governamental,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Outras,1500.0,27.0,Masculino,Sudeste,SP,Pequena,Sem Exp.,CLT,Estudante,Comp/Sist,Varejo,0.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,28.0,Feminino,Sudeste,SP,Grande,1 a 2 anos,CLT,Mestre,Biológicas,Saúde,1.0,Home-Office,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Outras,18000.0,39.0,Masculino,Sudeste,SP,Grande,Sem Exp.,CLT,Pós-Graduado,Comp/Sist,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Analista de Dados,22500.0,28.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Internet,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,35.0,Masculino,Sudeste,RJ,Grande,até 1 ano,CLT,Doutor,Quím/Fis,Finanças,1.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,3500.0,36.0,Masculino,Nordeste,CE,Grande,6 a 10 anos,Servidor,Graduado,Comp/Sist,Governamental,0.0,Presencial,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,24.0,Masculino,Sul,SC,Grande,1 a 2 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,44.0,Masculino,Norte,,Pequena,Sem Exp.,PJ,Graduado,Comp/Sist,Telecom,1.0,Home-Office,Sênior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Engenheiro de Dados,5000.0,32.0,Masculino,Sul,RS,Grande,1 a 2 anos,CLT,Estudante,Comp/Sist,Tecnologia,0.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Cientista de Dados,2500.0,24.0,Masculino,Nordeste,CE,Grande,2 a 3 anos,PJ,Estudante,Estat/Mat,Outro,0.0,Híbrido,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,26.0,Masculino,Sudeste,MG,Grande,até 1 ano,CLT,Pós-Graduado,Comp/Sist,Indústria,1.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,30.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Alimentício,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
